CurrentTime,Instance,Number,Spend_time,nb_nodes,nb_sub_nodes,Seed,Iter,Generation,Local_Best_Obj
20200228162653,MDG-b_3_n500_m50,0,756.977s,500,50,1582872167,1500,70,1114.9
20200228163932,MDG-b_3_n500_m50,1,753.935s,500,50,1582847532,1500,67,1084.94
20200228165208,MDG-b_3_n500_m50,2,753.354s,500,50,1582849567,1500,65,1146.27
20200228170443,MDG-b_3_n500_m50,3,750.981s,500,50,1582859550,1500,65,1144.47
20200228171715,MDG-b_3_n500_m50,4,758.1s,500,50,1582867809,1500,67,1119.13
20200228172955,MDG-b_5_n500_m50,0,759.819s,500,50,1582852074,1500,66,1110.43
20200228174237,MDG-b_5_n500_m50,1,750.264s,500,50,1582871441,1500,67,1131.58
20200228175509,MDG-b_5_n500_m50,2,756.563s,500,50,1582853275,1500,66,1150.69
20200228180747,MDG-b_5_n500_m50,3,756.422s,500,50,1582871627,1500,68,1112.71
20200228182025,MDG-b_5_n500_m50,4,759.061s,500,50,1582879752,1500,68,1167.14
20200228183306,MDG-b_6_n500_m50,0,750.006s,500,50,1582865780,1500,67,1103.7
20200228184538,MDG-b_6_n500_m50,1,756.925s,500,50,1582871498,1500,69,1043.42
20200228185817,MDG-b_6_n500_m50,2,756.838s,500,50,1582859269,1500,68,1142.83
20200228191055,MDG-b_6_n500_m50,3,757.314s,500,50,1582867366,1500,77,1136.72
20200228192334,MDG-b_6_n500_m50,4,758.385s,500,50,1582874429,1500,83,1069.38
20200228193615,MDG-b_8_n500_m50,0,754.308s,500,50,1582867602,1500,81,1048.07
20200228194851,MDG-b_8_n500_m50,1,751.935s,500,50,1582878076,1500,80,1069.84
20200228200125,MDG-b_8_n500_m50,2,20200229074320,MDG-b_3_n500_m50,0,750.11s,500,50,1582931873,1500,111,1131.19
20200229075552,MDG-b_3_n500_m50,1,755.366s,500,50,1582907862,1500,112,1112.65
20200229080828,MDG-b_3_n500_m50,2,20200229080932,MDG-b_3_n500_m50,0,755.892s,500,50,1582916774,2000,88,1113.16
20200229082209,MDG-b_3_n500_m50,1,20200229082539,MDG-b_3_n500_m50,0,753.285s,500,50,1582922639,1700,103,1109.79
20200229083813,MDG-b_3_n500_m50,1,755.707s,500,50,1582924725,1700,104,1130.31
20200229085050,MDG-b_3_n500_m50,2,752.079s,500,50,1582926599,1700,104,1122
20200229090324,MDG-b_3_n500_m50,3,754.488s,500,50,1582937254,1700,104,1094.45
20200229091559,MDG-b_3_n500_m50,4,752.45s,500,50,1582926231,1700,103,1137.94
20200229092834,MDG-b_5_n500_m50,0,750.592s,500,50,1582923639,1700,97,1073.53
20200229094105,MDG-b_5_n500_m50,1,831.819s,500,50,1582933093,1700,102,1131.22
20200229095459,MDG-b_5_n500_m50,2,750.4s,500,50,1582918487,1700,102,1079.81
20200229100730,MDG-b_5_n500_m50,3,752.719s,500,50,1582910565,1700,102,1080.29
20200229102004,MDG-b_5_n500_m50,4,750.976s,500,50,1582942005,1700,102,1071.2
20200229103236,MDG-b_6_n500_m50,0,756.94s,500,50,1582921008,1700,101,1114.21
20200229104514,MDG-b_6_n500_m50,1,755.741s,500,50,1582915227,1700,101,1113.65
20200229105751,MDG-b_6_n500_m50,2,753.775s,500,50,1582936678,1700,100,1090.11
20200229111026,MDG-b_6_n500_m50,3,751.743s,500,50,1582935876,1700,94,1114.92
20200229112259,MDG-b_6_n500_m50,4,756.964s,500,50,1582940622,1700,96,1131.37
20200229113537,MDG-b_8_n500_m50,0,751.881s,500,50,1582929966,1700,95,1118.52
20200229114810,MDG-b_8_n500_m50,1,756.732s,500,50,1582921768,1700,97,1101.21
20200229120048,MDG-b_8_n500_m50,2,753.275s,500,50,1582920695,1700,96,1101.79
20200229121323,MDG-b_8_n500_m50,3,750.053s,500,50,1582925389,1700,97,1118.73
20200229122554,MDG-b_8_n500_m50,4,755.088s,500,50,1582939482,1700,101,1077.64
20200229123830,MDG-b_9_n500_m50,0,750.665s,500,50,1582930922,1700,101,1136.65
20200229125102,MDG-b_9_n500_m50,1,756.116s,500,50,1582946719,1700,102,1107.16
20200229130339,MDG-b_9_n500_m50,2,756.783s,500,50,1582927362,1700,102,1137.64
20200229131617,MDG-b_9_n500_m50,3,757.336s,500,50,1582927754,1700,99,1132.57
20200229132856,MDG-b_9_n500_m50,4,755.852s,500,50,1582947112,1700,97,1088.97
20200229134133,MDG-b_10_n500_m50,0,20200229134632,MDG-b_3_n500_m50,0,758.042s,500,50,1582954369,1500,79,1153.41
20200229135912,MDG-b_3_n500_m50,1,757.327s,500,50,1582941166,1500,77,1037.05
20200229141151,MDG-b_3_n500_m50,2,755.093s,500,50,1582924409,1500,79,1117.01
20200229142427,MDG-b_3_n500_m50,3,750.698s,500,50,1582946853,1500,73,1140.87
20200229143700,MDG-b_3_n500_m50,4,758.976s,500,50,1582954643,1500,78,1094.83
20200229144940,MDG-b_5_n500_m50,0,759.449s,500,50,1582956903,1500,74,1125.64
20200229150221,MDG-b_5_n500_m50,1,757.29s,500,50,1582956710,1500,70,1115.7
20200229151500,MDG-b_5_n500_m50,2,751.845s,500,50,1582945390,1500,73,1159.98
20200229152735,MDG-b_5_n500_m50,3,756.504s,500,50,1582934015,1500,68,1127.17
20200229154014,MDG-b_5_n500_m50,4,751.922s,500,50,1582934264,1500,69,1071.26
20200229155248,MDG-b_6_n500_m50,0,754.082s,500,50,1582952123,1500,83,1103.95
20200229160524,MDG-b_6_n500_m50,1,758.363s,500,50,1582952389,1500,68,1149.8
20200229161804,MDG-b_6_n500_m50,2,